,beam_decl,beam_ra,decl,dist_c,priority,ra,source_id,table_name
0,-33.9144,51.9223,-33.9144,83.9635,4,51.9223,5053621836606796928,26m_sources
1,-33.7852,51.584999999999994,-33.7852,97.1042,4,51.584999999999994,5053301191528039680,26m_sources
2,-33.8064,51.8923,-33.8064,130.13,4,51.8923,5053626543890906624,26m_sources
3,-33.81529999999999,51.79780000000001,-33.81529999999999,142.425,4,51.79780000000001,5053625616177975040,26m_sources
4,-33.80369999999999,51.964,-33.80369999999999,181.93,4,51.964,5053623417154756352,26m_sources
5,-33.976699999999994,51.57719999999999,-33.976699999999994,182.65,4,51.57719999999999,5053247624695931392,26m_sources
6,-33.7982,51.8549,-33.7982,192.851,4,51.8549,5053626440811693440,26m_sources
7,-33.7384,51.646699999999996,-33.7384,219.46,4,51.646699999999996,5053674097768814976,26m_sources
8,-33.97689999999999,51.96530000000001,-33.97689999999999,229.093,4,51.96530000000001,5053609707619153920,26m_sources
9,-33.7277,51.721500000000006,-33.7277,249.484,4,51.721500000000006,5053675403438870144,26m_sources
10,-33.9606,52.006399999999985,-33.9606,263.676,4,52.006399999999985,5053609638899674880,26m_sources
11,-33.88719999999999,51.75940000000001,-33.88719999999999,272.543,4,51.75940000000001,5053624207428706560,26m_sources
12,-33.9211,51.75520000000001,-33.9211,291.965,4,51.75520000000001,5053624035630059904,26m_sources
13,-33.829299999999996,51.766400000000004,-33.829299999999996,303.679,4,51.766400000000004,5053625478739023616,26m_sources
14,-33.96309999999999,51.8664,-33.96309999999999,306.265,4,51.8664,5053620217402371584,26m_sources
15,-33.8364,51.88250000000001,-33.8364,330.235,4,51.88250000000001,5053626062854615168,26m_sources
16,-33.7831,51.898700000000005,-33.7831,331.773,4,51.898700000000005,5053626578250643200,26m_sources
17,-33.7939,51.6934,-33.7939,346.288,4,51.6934,5053672551580588800,26m_sources
18,-33.94799999999999,51.59519999999999,-33.94799999999999,370.997,4,51.59519999999999,5053296071927028352,26m_sources
19,-33.9731,51.9055,-33.9731,374.88,4,51.9055,5053619981180928384,26m_sources
20,-33.8736,51.6755,-33.8736,382.511,4,51.6755,5053249858078917248,26m_sources
21,-33.9513,51.7595,-33.9513,390.904,4,51.7595,5053248414969953792,26m_sources
22,-34.008199999999995,51.648599999999995,-34.008199999999995,416.939,4,51.648599999999995,5053248037012838272,26m_sources
23,-33.9435,51.9346,-33.9435,425.151,4,51.9346,5053621596088629376,26m_sources
24,-34.0856,51.848200000000006,-34.0856,429.065,4,51.848200000000006,5053232162813706368,26m_sources
25,-33.7989,51.969500000000004,-33.7989,444.545,4,51.969500000000004,5053629292670016768,26m_sources
26,-33.763299999999994,51.8792,-33.763299999999994,446.859,4,51.8792,5053626853128550272,26m_sources
27,-33.8038,51.900800000000004,-33.8038,450.716,4,51.900800000000004,5053626475171429120,26m_sources
28,-33.8775,51.6809,-33.8775,479.874,4,51.6809,5053249858078916992,26m_sources
29,-33.8856,51.72800000000001,-33.8856,485.308,4,51.72800000000001,5053624928983213056,26m_sources
30,-34.0451,51.923700000000004,-34.0451,527.26,4,51.923700000000004,5053607474236163584,26m_sources
31,-33.7773,51.6867,-33.7773,530.986,4,51.6867,5053672998257186688,26m_sources
32,-33.8602,51.95530000000001,-33.8602,535.602,4,51.95530000000001,5053622420722345856,26m_sources
33,-33.862,51.7184,-33.862,597.423,4,51.7184,5053625238220858240,26m_sources
34,-34.11889999999999,51.839499999999994,-34.11889999999999,652.393,4,51.839499999999994,5053231819216324736,26m_sources
35,-33.8465,51.80029999999999,-33.8465,660.337,4,51.80029999999999,5053624752887835392,26m_sources
36,-34.028499999999994,51.87520000000001,-34.028499999999994,661.97,4,51.87520000000001,5053607611675118976,26m_sources
37,-34.0157,51.66629999999999,-34.0157,702.241,4,51.66629999999999,5053247968293415168,26m_sources
38,-33.843599999999995,51.802900000000015,-33.843599999999995,773.546,4,51.802900000000015,5053624757184516992,26m_sources
39,-33.9501,51.915000000000006,-33.9501,799.779,4,51.915000000000006,5053620118619880704,26m_sources
40,-33.7854,51.74940000000001,-33.7854,847.005,4,51.74940000000001,5053672792098755712,26m_sources
41,-33.8476,51.8445,-33.8476,894.224,4,51.8445,5053625989838416768,26m_sources
42,-33.9465,51.777699999999996,-33.9465,931.461,4,51.777699999999996,5053623726392417920,26m_sources
43,-34.0314,51.63020000000001,-34.0314,958.896,4,51.63020000000001,5053246525184352512,26m_sources
44,-33.7712,51.8428,-33.7712,968.158,4,51.8428,5053627196725936896,26m_sources
45,-33.7739,51.64450000000001,-33.7739,971.969,4,51.64450000000001,5053673410574049792,26m_sources
46,-34.0017,51.64,-34.0017,981.816,4,51.64,5053248037012838528,26m_sources
47,-34.005799999999994,51.973200000000006,-34.005799999999994,1063.47,4,51.973200000000006,5053607955272498176,26m_sources
48,-34.0068,51.6416,-34.0068,1180.39,4,51.6416,5053248037012838784,26m_sources
49,-33.85929999999999,51.7434,-33.85929999999999,1214.93,4,51.7434,5053625066422165120,26m_sources
50,-34.0363,51.90849999999999,-34.0363,1246.03,4,51.90849999999999,5053607646034856064,26m_sources
51,-33.7973,51.6216,-33.7973,1280.91,4,51.6216,5053673273135097856,26m_sources
52,-33.95689999999999,51.8366,-33.95689999999999,1341.09,4,51.8366,5053620599656220928,26m_sources
53,-33.9123,51.84349999999999,-33.9123,1372.23,4,51.84349999999999,5053621286850986752,26m_sources
54,-33.9343,51.6841,-33.9343,1384.22,4,51.6841,5053249377042582656,26m_sources
55,-33.788599999999995,51.6814,-33.788599999999995,1444.65,4,51.6814,5053672620300066304,26m_sources
56,-33.7441,51.89589999999999,-33.7441,1563.19,4,51.89589999999999,5053626990567502208,26m_sources
57,-33.811699999999995,51.8233,-33.811699999999995,1649.23,4,51.8233,5053627059286985216,26m_sources
58,-33.9263,51.6996,-33.9263,1903.85,4,51.6996,5053249480121796736,26m_sources
